id,title,difficulty,tags,link
152,Level order traversal,Easy,"Tree, Data Structures",https://www.geeksforgeeks.org/problems/level-order-traversal/1
153,Maximum Index,Medium,"Arrays, Data Structures",https://www.geeksforgeeks.org/problems/maximum-index3307/1
154,Delete in a Singly Linked List,Easy,"Linked List, Data Structures",https://www.geeksforgeeks.org/problems/delete-a-node-in-single-linked-list/1
155,Mirror Tree,Easy,"Tree, Data Structures",https://www.geeksforgeeks.org/problems/mirror-tree/1
156,Stream First Non-repeating,Medium,"Hash, Queue, Data Structures",https://www.geeksforgeeks.org/problems/first-non-repeating-character-in-a-stream1216/1
157,Linked List Group Reverse,Hard,"Linked List, Data Structures",https://www.geeksforgeeks.org/problems/reverse-a-linked-list-in-groups-of-given-size/1
158,Alternate Positive Negative,Easy,"Arrays, Data Structures",https://www.geeksforgeeks.org/problems/array-of-alternate-ve-and-ve-nos1401/1
159,Queue Using Array,Basic,"Arrays, Queue, Data Structures",https://www.geeksforgeeks.org/problems/implement-queue-using-array/1
160,Delete without head pointer,Easy,"Linked List, Data Structures",https://www.geeksforgeeks.org/problems/delete-without-head-pointer/1
161,Count total set bits,Medium,"Bit Magic, Data Structures",https://www.geeksforgeeks.org/problems/count-total-set-bits-1587115620/1
162,Count the triplets,Easy,"two-pointer-algorithm, Sorting, Algorithms",https://www.geeksforgeeks.org/problems/count-the-triplets4615/1
163,Ways to Reach the n'th Stair,Medium,"sliding-window, Dynamic Programming, Mathematical, Algorithms",https://www.geeksforgeeks.org/problems/count-ways-to-reach-the-nth-stair-1587115620/1
164,At Least K Occurrences,Easy,"Arrays, Hash, Data Structures",https://www.geeksforgeeks.org/problems/first-element-to-occur-k-times5150/1
165,Minimum element in BST,Basic,"Binary Search Tree, Tree, Data Structures",https://www.geeksforgeeks.org/problems/minimum-element-in-bst/1
166,Max Sum Increasing Subsequence,Medium,"Dynamic Programming, Algorithms",https://www.geeksforgeeks.org/problems/maximum-sum-increasing-subsequence4749/1
167,4 Sum - All Quadruples,Medium,"Hash, Sorting, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/find-all-four-sum-numbers1732/1
168,Insertion Sort,Easy,"Sorting, Algorithms",https://www.geeksforgeeks.org/problems/insertion-sort/1
169,Stock span problem,Medium,"Arrays, Stack, Data Structures",https://www.geeksforgeeks.org/problems/stock-span-problem-1587115621/1
170,Dijkstra Algorithm,Medium,"Graph, Data Structures, Algorithms",https://www.geeksforgeeks.org/problems/implementing-dijkstra-set-1-adjacency-matrix/1
